name,id,nametype,type,class,group,mass (g),fall,year,reclat,reclong,GeoLocation
Forrest 028,10151,Valid,Stony,Ordinary,L7,48.7,Found,1992-01-01,-30.73233,127.949,"(-30.732330, 127.949000)"
Deakin 009,6633,Valid,Stony,Ordinary,H5,150,Found,1991-01-01,-30.73333,128.91667,"(-30.733330, 128.916670)"
Forrest 020,10143,Valid,Stony,Ordinary,L5/6,6.99,Found,1992-01-01,-30.73783,127.95367,"(-30.737830, 127.953670)"
Forrest 031,10154,Valid,Stony,Ordinary,H4,0.83,Found,1992-01-01,-30.73783,127.95367,"(-30.737830, 127.953670)"
Davis Mountains,6615,Valid,Iron,Achondrites,"Iron, IIIAB",689000,Found,1903-01-01,30.75,-104.25,"(30.750000, -104.250000)"
Bencubbin,5014,Valid,Stony,Carbonaceous,CBa,118000,Found,1930-01-01,-30.75,117.78333,"(-30.750000, 117.783330)"
Forrest 008,10131,Valid,Stony,Ordinary,L6,122.6,Found,1979-01-01,-30.75,127.99167,"(-30.750000, 127.991670)"
Forrest 033,10156,Valid,Stony,Enstatite,EL6,31.3,Found,1991-01-01,-30.75,128.08333,"(-30.750000, 128.083330)"
Forrest 034,10157,Valid,Stony,Ordinary,L6,99,Found,1991-01-01,-30.75,128.08333,"(-30.750000, 128.083330)"
Forrest 035,10158,Valid,Stony,Ordinary,L6,166,Found,1991-01-01,-30.75,128.08333,"(-30.750000, 128.083330)"
Forrest 036,10159,Valid,Stony,Ordinary,H6,57,Found,1991-01-01,-30.75,128.08333,"(-30.750000, 128.083330)"
Forrest 037,10160,Valid,Stony,Ordinary,H4,10,Found,1991-01-01,-30.75,128.08333,"(-30.750000, 128.083330)"
Cruz del Eje,51739,Valid,Iron,Primitive Achondrites,"Iron, IAB complex",14000,Found,1971-01-01,-30.75,-64.78333,"(-30.750000, -64.783330)"
Kirbyville,12321,Valid,Stony,Achondrites,Eucrite-mmict,97.7,Fell,1906-01-01,30.75,-95.95,"(30.750000, -95.950000)"
Forrest 025,10148,Valid,Stony,Ordinary,L5,8.11,Found,1992-01-01,-30.756,127.93717,"(-30.756000, 127.937170)"
Forrest 026,10149,Valid,Stony,Ordinary,H5/6,64.11,Found,1992-01-01,-30.757,127.938,"(-30.757000, 127.938000)"
Forrest 021,10144,Valid,Stony,Ordinary,L6,59.7,Found,1992-01-01,-30.757,127.95167,"(-30.757000, 127.951670)"
Forrest 024,10147,Valid,Stony,Ordinary,LL6,16.23,Found,1992-01-01,-30.758,127.94783,"(-30.758000, 127.947830)"
Forrest 027,10150,Valid,Stony,Ordinary,L5/6,14.41,Found,1992-01-01,-30.75967,127.94983,"(-30.759670, 127.949830)"
Forrest 022,10145,Valid,Stony,Ordinary,L5,7.46,Found,1992-01-01,-30.77283,127.94667,"(-30.772830, 127.946670)"
Forrest 023,10146,Valid,Stony,Ordinary,L4,7.67,Found,1992-01-01,-30.78167,127.94417,"(-30.781670, 127.944170)"
Barrilla,4952,Valid,Stony,Ordinary,H5,11100,Found,1994-01-01,30.78333,-103.46667,"(30.783330, -103.466670)"
Forrest 014,10137,Valid,Stony,Ordinary,H5,104,Found,1990-01-01,-30.78333,127.75,"(-30.783330, 127.750000)"
Forrest 015,10138,Valid,Stony,Ordinary,H4,82,Found,1990-01-01,-30.78333,127.8,"(-30.783330, 127.800000)"
Chajari,5316,Valid,Stony,Ordinary,L5,18300,Fell,1933-01-01,-30.78333,-58.05,"(-30.783330, -58.050000)"
Forrest 007,10130,Valid,Stony,Ordinary,H4,910,Found,1979-01-01,-30.785,128.01667,"(-30.785000, 128.016670)"
Lavras do Sul,52092,Valid,Stony,Ordinary,L5,1000,Found,1985-01-01,-30.8,-53.9,"(-30.800000, -53.900000)"
Forrest 001,10124,Valid,Stony,Ordinary,H5,97.7,Found,1967-01-01,-30.81667,128.21667,"(-30.816670, 128.216670)"
Bechar 001,4988,Valid,Stony,Ordinary,L6,39000,Found,1998-01-01,30.83333,-3.33333,"(30.833330, -3.333330)"
Bechar 002,4989,Valid,Stony,Ordinary,H6,12000,Found,1998-01-01,30.83333,-3.33333,"(30.833330, -3.333330)"
Bartlett,4953,Valid,Iron,Achondrites,"Iron, IIIAB",8590,Found,1938-01-01,30.83333,-97.5,"(30.833330, -97.500000)"
Florence,10111,Valid,Stony,Ordinary,H3,3640,Fell,1922-01-01,30.83333,-97.76667,"(30.833330, -97.766670)"
Avoca (Western Australia),4909,Valid,Iron,Achondrites,"Iron, IIIAB",37850,Found,1966-01-01,-30.85,122.31667,"(-30.850000, 122.316670)"
Ifould Lake 001,52649,Valid,Stony,Ordinary,L5,40.9,Found,2008-01-01,-30.85,132.08333,"(-30.850000, 132.083330)"
Aguila Blanca,417,Valid,Stony,Ordinary,L,1440,Fell,1920-01-01,-30.86667,-64.55,"(-30.866670, -64.550000)"
Deakin 003,6627,Valid,Stony,Ordinary,H5,82.6,Found,1986-01-01,-30.88333,128.66667,"(-30.883330, 128.666670)"
Deakin 001,6625,Valid,Stony,Carbonaceous,Chondrite-ung,109.5,Found,1978-01-01,-30.88333,128.96667,"(-30.883330, 128.966670)"
Deakin 002,6626,Valid,Stony,Ordinary,H4,4.5,Found,1978-01-01,-30.88333,128.975,"(-30.883330, 128.975000)"
Capilla del Monte,5264,Valid,Stony,Ordinary,H6,750,Fell,1934-01-01,-30.88333,-64.55,"(-30.883330, -64.550000)"
Forrest 003,10126,Valid,Stony,Ordinary,H3,74,Found,1970-01-01,-30.9,128.08333,"(-30.900000, 128.083330)"
Sinai,23606,Valid,Stony,Ordinary,L6,1455,Fell,1916-01-01,30.9,32.48333,"(30.900000, 32.483330)"
Cook 012,54926,Valid,Stony,Ordinary,H4,6.6,Found,2010-01-01,-30.91378,130.90386,"(-30.913780, 130.903860)"
Fort Stockton,10168,Valid,Iron,Achondrites,Iron,4762.8,Found,1952-01-01,30.91667,-103.06667,"(30.916670, -103.066670)"
Cook 013,54927,Valid,Stony,Ordinary,H6,46.8,Found,2010-01-01,-30.94775,130.90858,"(-30.947750, 130.908580)"
Gunnadorah 011,50994,Valid,Stony,Ordinary,L,33,Found,1993-01-01,-30.9685,126.252,"(-30.968500, 126.252000)"
Forrest 002,10125,Valid,Stony,Ordinary,L6,26000,Found,1980-01-01,-30.98333,127.88333,"(-30.983330, 127.883330)"
Lake Brown,12437,Valid,Stony,Ordinary,L6,23400,Found,1919-01-01,-31,118.5,"(-31.000000, 118.500000)"
Gunnadorah,11454,Valid,Stony,Ordinary,H5,19.7,Found,1968-01-01,-31,125.93333,"(-31.000000, 125.933330)"
Lynch 001,14763,Valid,Stony,Ordinary,L5-6,31.5,Found,1977-01-01,-31.01667,127.21667,"(-31.016670, 127.216670)"
Biduna Blowhole 001,52648,Valid,Stony,Ordinary,L4,103.4,Found,2009-01-01,-31.01667,131.31667,"(-31.016670, 131.316670)"
San Pedro de Quiles,23130,Valid,Stony,Ordinary,L6,282,Fell,1956-01-01,-31.01667,-71.4,"(-31.016670, -71.400000)"
Biduna Blowhole 003,54930,Valid,Stony,Ordinary,L6,0.4,Found,2011-01-01,-31.01964,131.30394,"(-31.019640, 131.303940)"
Biduna Blowhole 004,56590,Valid,Stony,Ordinary,H5,114.5,Found,2011-01-01,-31.03278,131.28553,"(-31.032780, 131.285530)"
Biduna Blowhole 002,54929,Valid,Stony,Ordinary,L4,13,Found,2011-01-01,-31.03297,131.28547,"(-31.032970, 131.285470)"
Lake Torrens,12447,Valid,Stony,Ordinary,L6,906,Found,1989-01-01,-31.03333,138.2,"(-31.033330, 138.200000)"
Brady,5129,Valid,Stony,Ordinary,L6,927,Found,1937-01-01,31.05,-99.46667,"(31.050000, -99.466670)"
Kharga,12290,Valid,Iron,Achondrites,"Iron, IVA",1040,Found,2000-01-01,31.1325,25.04717,"(31.132500, 25.047170)"
Boogaldi,5107,Valid,Iron,Achondrites,"Iron, IVA",2000,Found,1900-01-01,-31.15,149.11667,"(-31.150000, 149.116670)"
Bou Azarif,53812,Valid,Stony,Ordinary,H5,100000,Found,2010-01-01,31.15643,-5.15262,"(31.156430, -5.152620)"
Tamdakht,48691,Valid,Stony,Ordinary,H5,100000,Fell,2008-01-01,31.16333,-7.015,"(31.163330, -7.015000)"
Kybo 001,12387,Valid,Stony,Ordinary,LL5,2492.7,Found,1984-01-01,-31.18333,126.41667,"(-31.183330, 126.416670)"
Isthilart,12053,Valid,Stony,Ordinary,H5,3050,Fell,1928-01-01,-31.18333,-57.95,"(-31.183330, -57.950000)"
Commodore,5416,Valid,Stony,Ordinary,H6,304.3,Found,1972-01-01,-31.2,138.3,"(-31.200000, 138.300000)"
La Criolla,12396,Valid,Stony,Ordinary,L6,45000,Fell,1985-01-01,-31.23333,-58.16667,"(-31.233330, -58.166670)"
Molteno,16717,Valid,Stony,Achondrites,Howardite,150,Fell,1953-01-01,-31.25,26.46667,"(-31.250000, 26.466670)"
Richland Springs,22602,Valid,Stony,Ordinary,OC,1900,Fell,1980-01-01,31.25,-99.03333,"(31.250000, -99.033330)"
Mertzon,15490,Valid,Iron,Primitive Achondrites,"Iron, IAB-ung",3720,Found,1943-01-01,31.26667,-100.83333,"(31.266670, -100.833330)"
Brachina,5127,Valid,Stony,Primitive Achondrites,Brachinite,202.9,Found,1974-01-01,-31.3,138.38333,"(-31.300000, 138.383330)"
Nakhla,16898,Valid,Stony,Achondrites,Martian (nakhlite),10000,Fell,1911-01-01,31.31667,30.35,"(31.316670, 30.350000)"
Changxing,5323,Valid,Stony,Ordinary,H5,27900,Found,1964-01-01,31.33333,121.66667,"(31.333330, 121.666670)"
Enigma,10036,Valid,Stony,Ordinary,H4,94,Found,1967-01-01,31.33333,-82.31667,"(31.333330, -82.316670)"
Bunburra Rockhole,48653,Valid,Stony,Achondrites,Eucrite,324,Fell,2007-01-01,-31.35,129.19,"(-31.350000, 129.190000)"
Haig,11471,Valid,Iron,Achondrites,"Iron, IIIAB",503000,Found,1951-01-01,-31.38333,125.63333,"(-31.383330, 125.633330)"
Fife,30563,Valid,Stony,Ordinary,H5,8600,Found,2003-01-01,31.38972,-99.40583,"(31.389720, -99.405830)"
Lynch 002,55542,Valid,Stony,Achondrites,Lunar,36.54,Found,2010-01-01,-31.39953,127.14467,"(-31.399530, 127.144670)"
Po-wang Chen,18879,Valid,Stony,Ordinary,LL,665,Fell,1933-01-01,31.41667,118.5,"(31.416670, 118.500000)"
Arroyo Aguiar,2340,Valid,Stony,Ordinary,H5,7450,Fell,1950-01-01,-31.41667,-60.66667,"(-31.416670, -60.666670)"
